stage,split_digest,fold_or_panel,lane,row_type,seed_or_group,cold_start_policy
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_supervised_temporal,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_supervised_current_row,member,20260721,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_supervised_current_row,member,20260722,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_supervised_current_row,member,20260723,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_supervised_current_row,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,no_video_closed_loop_persistence,member,20260721,self_prediction_state_train_median_init_video_reset
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,no_video_closed_loop_persistence,member,20260722,self_prediction_state_train_median_init_video_reset
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,no_video_closed_loop_persistence,member,20260723,self_prediction_state_train_median_init_video_reset
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,no_video_closed_loop_persistence,ensemble,"20260721,20260722,20260723",self_prediction_state_train_median_init_video_reset
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,sequence_shuffled_video,member,20260721,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,sequence_shuffled_video,member,20260722,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,sequence_shuffled_video,member,20260723,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,sequence_shuffled_video,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_label_permutation,member,20260721,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_label_permutation,member,20260722,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_label_permutation,member,20260723,zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,video_label_permutation,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,phase7_ar_assisted_teacher_ceiling,member,20260721,observed_arousal_non_deployable_ceiling
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,phase7_ar_assisted_teacher_ceiling,member,20260722,observed_arousal_non_deployable_ceiling
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,phase7_ar_assisted_teacher_ceiling,member,20260723,observed_arousal_non_deployable_ceiling
stage_b,4e40b4e0ba8bb4cb44be0bfd62f3875a,3,phase7_ar_assisted_teacher_ceiling,ensemble,"20260721,20260722,20260723",observed_arousal_non_deployable_ceiling
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,locked_stage_a_winner,member,20260721,locked_stage_a_policy
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,locked_stage_a_winner,member,20260722,locked_stage_a_policy
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,locked_stage_a_winner,member,20260723,locked_stage_a_policy
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,locked_stage_a_winner,ensemble,"20260721,20260722,20260723",locked_stage_a_policy
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_temporal,member,20260721,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_temporal,member,20260722,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_temporal,member,20260723,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_temporal,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_current_row,member,20260721,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_current_row,member,20260722,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_current_row,member,20260723,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_supervised_current_row,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,no_video_closed_loop_persistence,member,20260721,self_prediction_state_train_median_init_video_reset
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,no_video_closed_loop_persistence,member,20260722,self_prediction_state_train_median_init_video_reset
